N;VarName;RhoEstimated;k;M;PseudoP
206;LNY;0.053725086;92;0.28357708;0
206;LNY;0.053725086;90;0.296646643;0
206;LNY;0.053725086;88;0.310045402;0
206;LNY;0.053725086;86;0.323758787;0
206;LNY;0.053725086;84;0.337770486;0
206;LNY;0.053725086;82;0.352062508;0
206;LNY;0.053725086;80;0.366615275;0
206;LNY;0.053725086;78;0.381407728;0
206;LNY;0.053725086;76;0.396417455;0
206;LNY;0.053725086;74;0.411620833;0
206;LNY;0.053725086;72;0.426993198;0
206;LNY;0.053725086;70;0.442509013;0
206;LNY;0.053725086;68;0.458142057;0
206;LNY;0.053725086;66;0.473865619;0
206;LNY;0.053725086;64;0.489652697;0
206;LNY;0.053725086;62;0.505476193;0
206;LNY;0.053725086;60;0.521309113;0
206;LNY;0.053725086;58;0.537124756;0
206;LNY;0.053725086;56;0.552896895;0
206;LNY;0.053725086;54;0.568599943;0
206;LNY;0.053725086;52;0.584209113;0
206;LNY;0.053725086;50;0.599700547;0
206;LNY;0.053725086;48;0.615051442;0
206;LNY;0.053725086;46;0.630240139;0
206;LNY;0.053725086;44;0.645246205;0
206;LNY;0.053725086;42;0.660050481;0
206;LNY;0.053725086;40;0.674635115;0
206;LNY;0.053725086;38;0.688983568;0
206;LNY;0.053725086;36;0.703080598;0
206;LNY;0.053725086;34;0.716912222;0
206;LNY;0.053725086;32;0.730465651;0
206;LNY;0.053725086;30;0.743729206;0
206;LNY;0.053725086;28;0.756692207;0
206;LNY;0.053725086;26;0.769344834;0
206;LNY;0.053725086;24;0.781677964;0
206;LNY;0.053725086;22;0.793682962;0
206;LNY;0.053725086;20;0.805351431;0
206;LNY;0.053725086;18;0.816674899;0
206;LNY;0.053725086;16;0.827644409;0
206;LNY;0.053725086;14;0.838249971;0
206;LNY;0.053725086;12;0.848479776;0
206;LNY;0.053725086;10;0.858318998;0
206;LNY;0.053725086;9;0.863086221;0
206;YRSCHOOL;0.25376473;204;0.010167788;0.857
206;YRSCHOOL;0.25376473;202;0.010814053;0.845
206;YRSCHOOL;0.25376473;200;0.011501165;0.82
206;YRSCHOOL;0.25376473;198;0.012231652;0.8
206;YRSCHOOL;0.25376473;196;0.013008193;0.784
206;YRSCHOOL;0.25376473;194;0.01383362;0.759
206;YRSCHOOL;0.25376473;192;0.014710929;0.744
206;YRSCHOOL;0.25376473;190;0.015643289;0.708
206;YRSCHOOL;0.25376473;188;0.016634043;0.692
206;YRSCHOOL;0.25376473;186;0.017686724;0.682
206;YRSCHOOL;0.25376473;184;0.018805059;0.659
206;YRSCHOOL;0.25376473;182;0.019992978;0.639
206;YRSCHOOL;0.25376473;180;0.021254621;0.619
206;YRSCHOOL;0.25376473;178;0.022594347;0.605
206;YRSCHOOL;0.25376473;176;0.024016739;0.581
206;YRSCHOOL;0.25376473;174;0.025526618;0.567
206;YRSCHOOL;0.25376473;172;0.027129042;0.543
206;YRSCHOOL;0.25376473;170;0.028829318;0.523
206;YRSCHOOL;0.25376473;168;0.030633003;0.502
206;YRSCHOOL;0.25376473;166;0.032545916;0.489
206;YRSCHOOL;0.25376473;164;0.034574134;0.469
206;YRSCHOOL;0.25376473;162;0.036724001;0.443
206;YRSCHOOL;0.25376473;160;0.039002129;0.424
206;YRSCHOOL;0.25376473;158;0.041415394;0.408
206;YRSCHOOL;0.25376473;156;0.04397094;0.391
206;YRSCHOOL;0.25376473;154;0.046676171;0.361
206;YRSCHOOL;0.25376473;152;0.049538748;0.34
206;YRSCHOOL;0.25376473;150;0.05256658;0.33
206;YRSCHOOL;0.25376473;148;0.055767814;0.305
206;YRSCHOOL;0.25376473;146;0.059150817;0.289
206;YRSCHOOL;0.25376473;144;0.062724166;0.266
206;YRSCHOOL;0.25376473;142;0.06649662;0.24
206;YRSCHOOL;0.25376473;140;0.070477098;0.224
206;YRSCHOOL;0.25376473;138;0.074674652;0.21
206;YRSCHOOL;0.25376473;136;0.079098431;0.197
206;YRSCHOOL;0.25376473;134;0.083757644;0.181
206;YRSCHOOL;0.25376473;132;0.088661516;0.166
206;YRSCHOOL;0.25376473;130;0.093819245;0.153
206;YRSCHOOL;0.25376473;128;0.099239943;0.139
206;YRSCHOOL;0.25376473;126;0.104932586;0.125
206;YRSCHOOL;0.25376473;124;0.110905946;0.115
206;YRSCHOOL;0.25376473;122;0.117168525;0.107
206;YRSCHOOL;0.25376473;120;0.12372849;0.094
206;YRSCHOOL;0.25376473;118;0.130593589;0.081
206;YRSCHOOL;0.25376473;116;0.137771082;0.071
206;YRSCHOOL;0.25376473;114;0.145267656;0.063
206;YRSCHOOL;0.25376473;112;0.153089343;0.053
206;YRSCHOOL;0.25376473;110;0.161241438;0.043
206;YRSCHOOL;0.25376473;108;0.169728418;0.034
206;YRSCHOOL;0.25376473;106;0.178553861;0.03
206;YRSCHOOL;0.25376473;104;0.18772037;0.027
206;YRSCHOOL;0.25376473;102;0.197229498;0.022
206;YRSCHOOL;0.25376473;100;0.207081684;0.019
206;YRSCHOOL;0.25376473;98;0.217276197;0.017
206;YRSCHOOL;0.25376473;96;0.227811081;0.013
206;YRSCHOOL;0.25376473;94;0.238683124;0.013
206;YRSCHOOL;0.25376473;92;0.249887827;0.01
206;YRSCHOOL;0.25376473;90;0.261419395;0.007
206;YRSCHOOL;0.25376473;88;0.27327074;0.007
206;YRSCHOOL;0.25376473;86;0.285433497;0.005
206;YRSCHOOL;0.25376473;84;0.29789806;0.003
206;YRSCHOOL;0.25376473;82;0.310653631;0.002
206;YRSCHOOL;0.25376473;80;0.323688289;0.002
206;YRSCHOOL;0.25376473;78;0.336989069;0.002
206;YRSCHOOL;0.25376473;76;0.350542059;0.001
206;YRSCHOOL;0.25376473;74;0.364332514;0.001
206;YRSCHOOL;0.25376473;72;0.378344971;0.001
206;YRSCHOOL;0.25376473;70;0.392563383;0.001
206;YRSCHOOL;0.25376473;68;0.406971258;0.001
206;YRSCHOOL;0.25376473;66;0.421551801;0.001
206;YRSCHOOL;0.25376473;64;0.436288057;0.001
206;YRSCHOOL;0.25376473;62;0.451163055;0.001
206;YRSCHOOL;0.25376473;60;0.46615995;0.001
206;YRSCHOOL;0.25376473;58;0.481262155;0.001
206;YRSCHOOL;0.25376473;56;0.49645346;0.001
206;YRSCHOOL;0.25376473;54;0.511718149;0.001
206;YRSCHOOL;0.25376473;52;0.527041093;0.001
206;YRSCHOOL;0.25376473;50;0.542407823;0.001
206;YRSCHOOL;0.25376473;48;0.557804599;0.001
206;YRSCHOOL;0.25376473;46;0.573218434;0.001
206;YRSCHOOL;0.25376473;44;0.588637114;0.001
206;YRSCHOOL;0.25376473;42;0.604049183;0.001
206;YRSCHOOL;0.25376473;40;0.619443895;0.001
206;YRSCHOOL;0.25376473;38;0.634811145;0.001
206;YRSCHOOL;0.25376473;36;0.65014136;0.001
206;YRSCHOOL;0.25376473;34;0.665425352;0.001
206;YRSCHOOL;0.25376473;32;0.680654134;0.001
206;YRSCHOOL;0.25376473;30;0.695818679;0.001
206;YRSCHOOL;0.25376473;28;0.710909626;0.001
206;YRSCHOOL;0.25376473;26;0.725916917;0.001
206;YRSCHOOL;0.25376473;24;0.74082934;0.001
206;YRSCHOOL;0.25376473;22;0.755633957;0.001
206;YRSCHOOL;0.25376473;20;0.770315382;0.001
206;YRSCHOOL;0.25376473;18;0.784854835;0.001
206;YRSCHOOL;0.25376473;16;0.799228885;0.001
206;YRSCHOOL;0.25376473;14;0.813407711;0.001
206;YRSCHOOL;0.25376473;12;0.827352591;0.001
206;YRSCHOOL;0.25376473;10;0.841012053;0.001
206;YRSCHOOL;0.25376473;9;0.847713702;0.001
206;EXP;0.237106583;204;0.010184846;0.857
206;EXP;0.237106583;202;0.010835101;0.845
206;EXP;0.237106583;200;0.011526636;0.819
206;EXP;0.237106583;198;0.012262017;0.8
206;EXP;0.237106583;196;0.013043962;0.784
206;EXP;0.237106583;194;0.013875348;0.759
206;EXP;0.237106583;192;0.014759217;0.744
206;EXP;0.237106583;190;0.015698785;0.708
206;EXP;0.237106583;188;0.016697452;0.692
206;EXP;0.237106583;186;0.017758805;0.682
206;EXP;0.237106583;184;0.018886632;0.659
206;EXP;0.237106583;182;0.020084927;0.638
206;EXP;0.237106583;180;0.021357899;0.619
206;EXP;0.237106583;178;0.02270998;0.602
206;EXP;0.237106583;176;0.024145832;0.581
206;EXP;0.237106583;174;0.025670356;0.566
206;EXP;0.237106583;172;0.027288699;0.543
206;EXP;0.237106583;170;0.029006258;0.522
206;EXP;0.237106583;168;0.030828691;0.502
206;EXP;0.237106583;166;0.032761917;0.489
206;EXP;0.237106583;164;0.034812122;0.464
206;EXP;0.237106583;162;0.036985765;0.44
206;EXP;0.237106583;160;0.039289574;0.423
206;EXP;0.237106583;158;0.041730552;0.405
206;EXP;0.237106583;156;0.044315971;0.387
206;EXP;0.237106583;154;0.047053372;0.357
206;EXP;0.237106583;152;0.049950555;0.334
206;EXP;0.237106583;150;0.053015575;0.327
206;EXP;0.237106583;148;0.056256728;0.304
206;EXP;0.237106583;146;0.059682536;0.286
206;EXP;0.237106583;144;0.063301731;0.263
206;EXP;0.237106583;142;0.067123233;0.239
206;EXP;0.237106583;140;0.071156125;0.223
206;EXP;0.237106583;138;0.075409621;0.207
206;EXP;0.237106583;136;0.079893035;0.194
206;EXP;0.237106583;134;0.084615739;0.179
206;EXP;0.237106583;132;0.08958712;0.166
206;EXP;0.237106583;130;0.094816531;0.149
206;EXP;0.237106583;128;0.10031324;0.138
206;EXP;0.237106583;126;0.106086366;0.122
206;EXP;0.237106583;124;0.112144816;0.114
206;EXP;0.237106583;122;0.118497221;0.104
206;EXP;0.237106583;120;0.125151855;0.091
206;EXP;0.237106583;118;0.132116565;0.08
206;EXP;0.237106583;116;0.139398686;0.07
206;EXP;0.237106583;114;0.147004961;0.061
206;EXP;0.237106583;112;0.154941454;0.049
206;EXP;0.237106583;110;0.163213464;0.042
206;EXP;0.237106583;108;0.171825441;0.033
206;EXP;0.237106583;106;0.180780905;0.03
206;EXP;0.237106583;104;0.190082362;0.026
206;EXP;0.237106583;102;0.199731229;0.022
206;EXP;0.237106583;100;0.20972777;0.019
206;EXP;0.237106583;98;0.220071028;0.016
206;EXP;0.237106583;96;0.230758779;0.013
206;EXP;0.237106583;94;0.241787488;0.013
206;EXP;0.237106583;92;0.253152285;0.01
206;EXP;0.237106583;90;0.264846947;0.007
206;EXP;0.237106583;88;0.276863903;0.005
206;EXP;0.237106583;86;0.28919425;0.004
206;EXP;0.237106583;84;0.301827783;0.003
206;EXP;0.237106583;82;0.314753053;0.002
206;EXP;0.237106583;80;0.327957426;0.002
206;EXP;0.237106583;78;0.34142717;0.002
206;EXP;0.237106583;76;0.355147552;0.001
206;EXP;0.237106583;74;0.369102948;0.001
206;EXP;0.237106583;72;0.383276968;0.001
206;EXP;0.237106583;70;0.397652589;0.001
206;EXP;0.237106583;68;0.412212296;0.001
206;EXP;0.237106583;66;0.426938226;0.001
206;EXP;0.237106583;64;0.441812319;0.001
206;EXP;0.237106583;62;0.456816462;0.001
206;EXP;0.237106583;60;0.471932635;0.001
206;EXP;0.237106583;58;0.487143048;0.001
206;EXP;0.237106583;56;0.502430264;0.001
206;EXP;0.237106583;54;0.517777321;0.001
206;EXP;0.237106583;52;0.533167825;0.001
206;EXP;0.237106583;50;0.548586039;0.001
206;EXP;0.237106583;48;0.564016939;0.001
206;EXP;0.237106583;46;0.579446262;0.001
206;EXP;0.237106583;44;0.594860521;0.001
206;EXP;0.237106583;42;0.610246997;0.001
206;EXP;0.237106583;40;0.625593705;0.001
206;EXP;0.237106583;38;0.640889326;0.001
206;EXP;0.237106583;36;0.656123116;0.001
206;EXP;0.237106583;34;0.671284769;0.001
206;EXP;0.237106583;32;0.686364246;0.001
206;EXP;0.237106583;30;0.701351562;0.001
206;EXP;0.237106583;28;0.716236511;0.001
206;EXP;0.237106583;26;0.731008339;0.001
206;EXP;0.237106583;24;0.745655326;0.001
206;EXP;0.237106583;22;0.760164272;0.001
206;EXP;0.237106583;20;0.774519839;0.001
206;EXP;0.237106583;18;0.788703703;0.001
206;EXP;0.237106583;16;0.802693422;0.001
206;EXP;0.237106583;14;0.816460871;0.001
206;EXP;0.237106583;12;0.829969983;0.001
206;EXP;0.237106583;10;0.843173284;0.001
206;EXP;0.237106583;9;0.849640965;0.001
206;EXP2;0.400795625;204;0.010015952;0.856
206;EXP2;0.400795625;202;0.010626456;0.841
206;EXP2;0.400795625;200;0.011273845;0.833
206;EXP2;0.400795625;198;0.011960299;0.814
206;EXP2;0.400795625;196;0.012688119;0.795
206;EXP2;0.400795625;194;0.013459732;0.775
206;EXP2;0.400795625;192;0.014277701;0.762
206;EXP2;0.400795625;190;0.015144725;0.742
206;EXP2;0.400795625;188;0.01606365;0.722
206;EXP2;0.400795625;186;0.017037471;0.698
206;EXP2;0.400795625;184;0.018069342;0.687
206;EXP2;0.400795625;182;0.019162579;0.673
206;EXP2;0.400795625;180;0.020320667;0.656
206;EXP2;0.400795625;178;0.021547267;0.643
206;EXP2;0.400795625;176;0.02284622;0.623
206;EXP2;0.400795625;174;0.024221552;0.61
206;EXP2;0.400795625;172;0.025677481;0.592
206;EXP2;0.400795625;170;0.027218419;0.576
206;EXP2;0.400795625;168;0.028848979;0.552
206;EXP2;0.400795625;166;0.030573977;0.536
206;EXP2;0.400795625;164;0.032398433;0.516
206;EXP2;0.400795625;162;0.034327575;0.504
206;EXP2;0.400795625;160;0.03636684;0.491
206;EXP2;0.400795625;158;0.038521871;0.477
206;EXP2;0.400795625;156;0.040798517;0.46
206;EXP2;0.400795625;154;0.04320283;0.445
206;EXP2;0.400795625;152;0.045741059;0.434
206;EXP2;0.400795625;150;0.048419643;0.414
206;EXP2;0.400795625;148;0.051245202;0.402
206;EXP2;0.400795625;146;0.054224528;0.381
206;EXP2;0.400795625;144;0.057364568;0.361
206;EXP2;0.400795625;142;0.060672407;0.344
206;EXP2;0.400795625;140;0.064155255;0.325
206;EXP2;0.400795625;138;0.067820417;0.314
206;EXP2;0.400795625;136;0.071675272;0.302
206;EXP2;0.400795625;134;0.075727244;0.29
206;EXP2;0.400795625;132;0.079983769;0.273
206;EXP2;0.400795625;130;0.084452261;0.262
206;EXP2;0.400795625;128;0.089140073;0.24
206;EXP2;0.400795625;126;0.094054454;0.223
206;EXP2;0.400795625;124;0.099202507;0.208
206;EXP2;0.400795625;122;0.104591137;0.186
206;EXP2;0.400795625;120;0.110227006;0.167
206;EXP2;0.400795625;118;0.116116477;0.152
206;EXP2;0.400795625;116;0.122265561;0.141
206;EXP2;0.400795625;114;0.128679862;0.132
206;EXP2;0.400795625;112;0.135364526;0.119
206;EXP2;0.400795625;110;0.14232418;0.101
206;EXP2;0.400795625;108;0.149562884;0.093
206;EXP2;0.400795625;106;0.157084083;0.074
206;EXP2;0.400795625;104;0.164890554;0.065
206;EXP2;0.400795625;102;0.172984372;0.057
206;EXP2;0.400795625;100;0.18136687;0.052
206;EXP2;0.400795625;98;0.190038616;0.046
206;EXP2;0.400795625;96;0.19899939;0.032
206;EXP2;0.400795625;94;0.208248177;0.025
206;EXP2;0.400795625;92;0.217783167;0.021
206;EXP2;0.400795625;90;0.227601771;0.017
206;EXP2;0.400795625;88;0.237700642;0.014
206;EXP2;0.400795625;86;0.248075721;0.013
206;EXP2;0.400795625;84;0.258722279;0.009
206;EXP2;0.400795625;82;0.269634993;0.009
206;EXP2;0.400795625;80;0.280808015;0.006
206;EXP2;0.400795625;78;0.292235071;0.002
206;EXP2;0.400795625;76;0.303909556;0
206;EXP2;0.400795625;74;0.315824654;0
206;EXP2;0.400795625;72;0.327973457;0
206;EXP2;0.400795625;70;0.340349096;0
206;EXP2;0.400795625;68;0.352944877;0
206;EXP2;0.400795625;66;0.365754421;0
206;EXP2;0.400795625;64;0.378771804;0
206;EXP2;0.400795625;62;0.391991698;0
206;EXP2;0.400795625;60;0.40540951;0
206;EXP2;0.400795625;58;0.41902151;0
206;EXP2;0.400795625;56;0.432824958;0
206;EXP2;0.400795625;54;0.446818212;0
206;EXP2;0.400795625;52;0.461000835;0
206;EXP2;0.400795625;50;0.475373671;0
206;EXP2;0.400795625;48;0.489938914;0
206;EXP2;0.400795625;46;0.50470015;0
206;EXP2;0.400795625;44;0.519662377;0
206;EXP2;0.400795625;42;0.534831984;0
206;EXP2;0.400795625;40;0.550216711;0
206;EXP2;0.400795625;38;0.565825552;0
206;EXP2;0.400795625;36;0.581668612;0
206;EXP2;0.400795625;34;0.597756902;0
206;EXP2;0.400795625;32;0.614102043;0
206;EXP2;0.400795625;30;0.630715884;0
206;EXP2;0.400795625;28;0.647609973;0
206;EXP2;0.400795625;26;0.664794863;0
206;EXP2;0.400795625;24;0.682279185;0
206;EXP2;0.400795625;22;0.700068407;0
206;EXP2;0.400795625;20;0.718163168;0
206;EXP2;0.400795625;18;0.736557;0
206;EXP2;0.400795625;16;0.755233163;0
206;EXP2;0.400795625;14;0.774160172;0
206;EXP2;0.400795625;12;0.793285221;0
206;EXP2;0.400795625;10;0.81252414;0
206;EXP2;0.400795625;9;0.822147599;0
